name,ghs
AC 1,d2g61u d2g645 d2g64h
AC 100,d2g6d d2g6dm d2g6dt
AC 116,d2g6d d2g6dr d2g6e d2g6g d2g6gm
AC 12,d2g62 d2g63 d2g68
AC 127,d2g6e d2g6f d2g6f3 d2g6g d2g6gm
AC 13,d2g63 d2g639 d2g64 d2g64n d2g64q
AC 132,d2g6c d2g6cv d2g6cy d2g6fj
AC 134,d2g6f d2g6fe d2g6ff d2g6fg d2g6g d2g6gm
AC 138,d2g6f d2g6fg d2g6fu
AC 145,d2g6cz d2g6f d2g6fn d2g6fp d2g6fq d2g71
AC 147,d2g6f d2g6g
AC 153,d2g6f d2g6g d2g6gm d2g71 d2g74
AC 161,d2g6g d2g6gp d2g6gq
AC 17,d2g62 d2g63 d2g68 d2g69
AC 170,d2g6g d2g75
AC 183,d2g6g d2g74 d2g75
AC 19,d2g63 d2g64 d2g64q d2g64r d2g66
AC 191,d2g74 d2g75 d2g757
AC 20,d2g63 d2g66
AC 201,d2g6g d2g75
AC 22,d2g63 d2g66 d2g68 d2g68f d2g68g d2g68s d2g68t d2g68u d2g69
AC 222,d2g7
AC 23,d2g63 d2g66
AC 235,d2g7
AC 24,d2g6 d2g63 d2g66 d2g66k d2g68 d2g68u d2g69 d2g69p
AC 25,d2g663
AC 26,d2g63 d2g66 d2g663 d2g666 d2g66k d2g69 d2g69d
AC 26 S,d2g61 d2g61k d2g61m d2g61n d2g61q d2g61s d2g62b d2g630
AC 28,d2g66 d2g663
AC 3,d2g61 d2g61r d2g61w d2g61y d2g62e d2g62f d2g631 d2g632 d2g633 d2g634
AC 32,d2g663
AC 34,d2g66 d2g663
AC 43 S,d2g4r d2g621 d2g622 d2g623 d2g624 d2g625 d2g62h d2g62j
AC 45,d2g667 d2g66e
AC 45A S,d2g60 d2g60u d2g61h
AC 53,d2g63 d2g66 d2g66k d2g66m d2g66s d2g69 d2g69d d2g69e d2g69s
AC 54 S,d2g4r d2g4rf d2g4rg
AC 55 S,d2g60p d2g620
AC 57,d2g66m d2g66t
AC 57R S,d2g4p d2g60 d2g60m
AC 6,d2g61 d2g61v d2g61y d2g62 d2g62e d2g62f d2g62m d2g63 d2g634 d2g636 d2g638 d2g639 d2g64h d2g64j
AC 60G S,d2g3bv d2g3by d2g3c
AC 61 S,d2g3b d2g3bv d2g3by d2g608
AC 63,d2g6 d2g66 d2g66q d2g66r d2g66w d2g69 d2g69d d2g69e d2g69f d2g69p d2g69s d2g6c0 d2g6c2 d2g6d
AC 64,d2g6d d2g6d4
AC 64C,d2g69f d2g6d4
AC 66,d2g69f d2g69g d2g6d4
AC 68,d2g66x d2g6d2 d2g6d3 d2g6d4 d2g6d5 d2g6d6 d2g6d8
AC 68 S,d2g60 d2g607 d2g608
AC 71 S,d2g39 d2g39r d2g3c
AC 71B S,d2g3c
AC 72,d2g69r d2g69u d2g69v d2g69w d2g69x d2g69y d2g6c1 d2g6c2 d2g6c3 d2g6c4 d2g6c8 d2g6d3 d2g6d4 d2g6d5 d2g6d6 d2g6d8 d2g6d9 d2g6dh
AC 75 S,d2g4p d2g4px
AC 8,d2g62 d2g62u
AC 8 S,d2g61q d2g61t d2g61w
AC 80,d2g69y d2g69z d2g6c d2g6c3 d2g6c6 d2g6c8 d2g6cb d2g6d d2g6d7 d2g6d9 d2g6dd d2g6de d2g6dj d2g6dm
AC 9,d2g63 d2g636
AC 90,d2g6c d2g6cb d2g6cc d2g6cf d2g6f
AK 103,d2g69
AK 104,d2g6c d2g6c2 d2g6c3 d2g6c6 d2g6cu d2g6cv d2g6cy d2g6cz d2g7 d2g71 d2g74
AK 106,d2g68 d2g68g d2g68u
AK 11,d2g6e d2g6g
AK 114,d2g6c d2g6c4
AK 116,d2g68 d2g68s d2g68t
AK 118,d2g6c d2g6cu d2g6cx d2g71
AK 128,d2g68
AK 129,d2g68
AK 14,d2g64h d2g64r d2g66 d2g663 d2g66e d2g66s d2g66t d2g66w d2g66x d2g6d8
AK 15,d2g6d d2g6e d2g6g d2g6gp d2g6gq d2g6gr d2g75
AK 16B,d2g3c d2g3cn
AK 18,d2g64h d2g64j d2g64n
AK 19,d2g66 d2g663 d2g666 d2g667 d2g6d d2g6f d2g6ff d2g6g
AK 20,d2g6d8 d2g6d9 d2g6dd d2g6de
AK 24,d2g666 d2g667 d2g66k d2g66m d2g66q d2g66r d2g6d2 d2g6d8 d2g6d9 d2g6dd d2g6de
AK 27,d2g61 d2g61s d2g61u d2g61v d2g61y d2g64 d2g66 d2g663
AK 28,d2g663 d2g666 d2g667
AK 3,d2g3
AK 30,d2g61 d2g61t d2g61v d2g61y d2g64 d2g66 d2g666 d2g667 d2g66k d2g66m d2g66q d2g66r d2g6d2 d2g6d3 d2g6d6 d2g6dd d2g6de
AK 36,d2g61 d2g61t d2g61w d2g63 d2g66
AK 39,d2g63
AK 40,d2g63 d2g66
AK 45,d2g6d d2g6f d2g6ff d2g6fg d2g6fu d2g6g d2g6gp d2g7 d2g75
AK 50,d2g61h d2g61j d2g61k d2g61m d2g61q d2g61r d2g63 d2g632 d2g638 d2g639 d2g66 d2g66k d2g6de d2g6ds
AK 51,d2g60 d2g603
AK 55,d2g6f d2g6fd d2g6fe
AK 58,d2g6f d2g6f3 d2g6fd d2g6fe d2g74
AK 60,d2g63 d2g66 d2g6d d2g6d4
AK 68,d2g60u d2g60v d2g61 d2g61j d2g61n d2g63 d2g630 d2g631 d2g633 d2g634 d2g636 d2g69 d2g6d d2g6d4 d2g6d5 d2g6dh d2g6dm
AK 68D,d2g63
AK 7,d2g6e d2g6g d2g6gm d2g6gr d2g6gt d2g7 d2g75 d2g757
AK 70,d2g69 d2g69d d2g69f d2g69g d2g69u d2g6d d2g6dh d2g6dj d2g6dm d2g6dr
AK 70C,d2g60 d2g607
AK 71B,d2g60m
AK 72,d2g60u d2g60v d2g60y d2g60z d2g62 d2g62b d2g62c d2g62f d2g62u d2g63 d2g69 d2g69d d2g69e d2g69g d2g69u d2g69v d2g69y d2g6d d2g6f d2g6f3 d2g6f7 d2g7 d2g74
AK 80,d2g4p d2g4py d2g60p d2g62 d2g620 d2g622 d2g623 d2g626 d2g62e d2g62u d2g62v d2g63 d2g69
AK 80G,d2g62 d2g62e
AK 86,d2g4rc d2g62 d2g621 d2g624 d2g626 d2g627 d2g62k d2g62m d2g63 d2g68 d2g69 d2g69s d2g69t d2g69w d2g69x d2g69z d2g6cb d2g6cc d2g6f
AK 88D,d2g62
AK 89,d2g62 d2g62k d2g62m d2g6cf d2g6f
AK 89B,d2g4rd d2g4rf d2g4rg d2g625 d2g62h
AK 9,d2g6e d2g6g d2g6gm d2g6gq d2g6gr d2g7 d2g75 d2g757
AK 91,d2g6f d2g6f5 d2g6fh d2g6fj
AK 96,d2g62 d2g69 d2g69r d2g69x d2g6c d2g6c2 d2g6c8
AK 97,d2g68 d2g68f d2g68g d2g69
CL 1,d2g3 d2g61q d2g61r d2g61s d2g61t d2g61u d2g61w d2g62 d2g62c d2g62e d2g62f d2g62k d2g62n d2g631 d2g633 d2g64 d2g643 d2g644 d2g645 d2g646 d2g64h
CL 1 S,d2g61g d2g61r d2g62 d2g62c d2g62e d2g62k d2g631 d2g632 d2g643 d2g644 d2g645 d2g646
CL 10,d2g61 d2g61y d2g62 d2g62u d2g62v d2g63 d2g636 d2g638 d2g64 d2g64j d2g64n
CL 10 S,d2g3f d2g61f d2g61g d2g61m d2g61q d2g61t d2g630 d2g64 d2g641 d2g644
CL 100,d2g6d d2g6dm d2g6dr d2g6e
CL 100 S,d2g39 d2g39d
CL 100A,d2g6e
CL 100A S,d2g39
CL 100B,d2g6e
CL 100B S,d2g39 d2g397
CL 100BBIS,d2g6e
CL 100BBIS S,d2g397
CL 100BIS,d2g6e
CL 100BIS S,d2g39
CL 100C,d2g6e
CL 100C S,d2g39 d2g397
CL 101,d2g6d d2g6dm d2g6dr d2g6dt d2g6e d2g6g
CL 101 S,d2g39
CL 101A,d2g6dt d2g6e d2g6g
CL 101A S,d2g39
