name,ghs
"
							",d2g3c
<Null>,d2g62 d2g69
AUTOPISTA AL LLANO,d2g3
AUTOPISTA NORTE,d2g d2g6 d2g6d
AVENIDA 13,d2g61
AVENIDA 40 SUR,d2g62
AVENIDA 82,d2g6d
AVENIDA AGOBERTO MEJIA CIFUENTES,d2g d2g6 d2g60 d2g62
AVENIDA ALBERTO LLERAS CAMARGO,d2g d2g6 d2g66 d2g6d
AVENIDA ALEJANDRO OBREGON,d2g6 d2g6d
AVENIDA ALFREDO D BATEMAN,d2g6 d2g6d
AVENIDA ALSACIA,d2g6 d2g62
AVENIDA BATALLON CALDAS,d2g6 d2g61 d2g66
AVENIDA BOLIVIA,d2g6c
AVENIDA BOSA,d2g d2g60
AVENIDA BOYACA,d2g d2g3 d2g6 d2g60 d2g62 d2g69 d2g6d
AVENIDA CALLE 85,d2g6 d2g6d
AVENIDA CALLEJAS,d2g6
AVENIDA CAMINO DEL PRADO,d2g6
AVENIDA CARACAS,d2g3 d2g3c d2g6 d2g61 d2g66 d2g6d
AVENIDA CARLOS LLERAS RESTREPO,d2g6 d2g6d
AVENIDA CARRERA 103,d2g69
AVENIDA CARRERA 106,d2g6
AVENIDA CARRERA 86,d2g6 d2g61 d2g66
AVENIDA CASTILLA,d2g62
AVENIDA CEDRITOS,d2g6
AVENIDA CENTENARIO,d2g6 d2g69
AVENIDA CHILE,d2g66 d2g69 d2g6c d2g6d
AVENIDA CIRCUNVALAR DEL SUR,d2g3
AVENIDA CIUDAD DE CALI,d2g d2g6 d2g62 d2g69 d2g6c
AVENIDA CIUDAD DE LIMA,d2g6 d2g66
AVENIDA CIUDAD DE QUITO,d2g60 d2g61 d2g66 d2g6d
AVENIDA CIUDAD DE VILLAVICENCIO,d2g d2g3 d2g3c d2g60 d2g61 d2g62
AVENIDA CIUDAD MONTES,d2g6 d2g61
AVENIDA COLOMBIA,d2g66 d2g6d
AVENIDA COLON,d2g6
AVENIDA CONGRESO EUCARISTICO,d2g6
AVENIDA CONTADOR,d2g6
AVENIDA CORDOBA,d2g6 d2g6d
AVENIDA CUNDINAMARCA,d2g62
AVENIDA DARIO ECHANDIA,d2g3c
AVENIDA DE LA CONSTITUCION,d2g6 d2g69 d2g6d
AVENIDA DE LA ESMERALDA,d2g6 d2g66 d2g6d
AVENIDA DE LA ESPERANZA,d2g6 d2g66
AVENIDA DE LA GUACAMAYA,d2g3 d2g3c
AVENIDA DE LA HORTUA,d2g6 d2g61
AVENIDA DE LA SIRENA,d2g6
AVENIDA DE LAS AMERICAS,d2g6 d2g62 d2g66
AVENIDA DE LAS MERCEDES,d2g
AVENIDA DE LAS ORQUIDEAS,d2g6
AVENIDA DE LOS ARRAYANES,d2g
AVENIDA DE LOS CERROS,d2g3 d2g6
AVENIDA DE LOS COMUNEROS,d2g6 d2g61
AVENIDA DE LOS MUISCAS,d2g62
AVENIDA DEL CONGRESO EUCARISTICO,d2g6 d2g60 d2g61 d2g69 d2g6d
AVENIDA DEL FERROCARRIL DEL SUR,d2g60 d2g61
AVENIDA DEL SALITRE,d2g69 d2g6d
AVENIDA DEL SUR,d2g d2g60 d2g61
AVENIDA DEL TAM,d2g6
AVENIDA DEL UVAL,d2g3
AVENIDA EL CORTIJO,d2g6c
AVENIDA EL DORADO,d2g6 d2g66
AVENIDA EL JARDIN,d2g
AVENIDA EL POLO,d2g
AVENIDA EL RINCON,d2g6
AVENIDA EL TABOR,d2g6 d2g6c
AVENIDA EL TINTAL,d2g62
AVENIDA ENRIQUE GRAU ARAUJO,d2g6 d2g6d
AVENIDA ESPANA,d2g6d
AVENIDA FEDERICO LLERAS,d2g60
AVENIDA FERNANDO MAZUERA,d2g3c d2g6 d2g61 d2g66
AVENIDA FERROCARRIL DE OCCIDENTE,d2g6 d2g66 d2g69
AVENIDA FERROCARRIL DEL SUR,d2g6 d2g60 d2g61
AVENIDA FISCALA,d2g3c
AVENIDA FONTIBON,d2g6 d2g69
AVENIDA FRANCISCO MIRANDA,d2g66
AVENIDA FUCHA,d2g6 d2g61
AVENIDA GABRIEL ANDRADE,d2g66 d2g6d
AVENIDA GENERAL SANTANDER,d2g3c d2g6 d2g61 d2g66
AVENIDA GERMAN ARCINIEGAS,d2g6 d2g66 d2g6d
AVENIDA GONZALO ARIZA,d2g69 d2g6c
AVENIDA GUAYMARAL,d2g
AVENIDA IBERIA,d2g6
AVENIDA INDUSTRIAL,d2g6
AVENIDA JIMENEZ,d2g6
AVENIDA JORGE ELIECER GAITAN,d2g6 d2g66 d2g69
AVENIDA JORGE GAITAN CORTES,d2g60 d2g61
AVENIDA JORGE URIBE BOTERO,d2g d2g6
AVENIDA JOSE ASUNCION SILVA,d2g3 d2g3c d2g61
AVENIDA JOSE CELESTINO MUTIS,d2g6 d2g66 d2g69 d2g6c d2g6d
AVENIDA LA FISCALA,d2g3c
AVENIDA LA SIRENA,d2g6
AVENIDA LA VICTORIA,d2g3 d2g3c
AVENIDA LAS PALMAS,d2g66
AVENIDA LAS QUINTAS,d2g6c
AVENIDA LAS VILLAS,d2g d2g6
AVENIDA LAUREANO GOMEZ,d2g d2g6 d2g6d
AVENIDA LONGITUDINAL DE OCCIDENTE,d2g d2g6 d2g62 d2g69 d2g6c
AVENIDA LOW MURTRA,d2g
AVENIDA LUIS CARLOS GALAN,d2g6 d2g69
AVENIDA MANUEL CEPEDA VARGAS,d2g62
AVENIDA MARISCAL SUCRE,d2g6 d2g60 d2g61 d2g66
AVENIDA MEDELLIN,d2g69 d2g6c d2g6d
AVENIDA MONSEÐOR JOSEMARIA ESCRIVA,d2g66
AVENIDA MONSEÑOR JOSEMARIA ESCRIVA,d2g66
AVENIDA MORISCA,d2g6 d2g6c
AVENIDA PABLO VI,d2g6 d2g66 d2g69
AVENIDA PASEO DE LOS LIBERTADORES,d2g6d
AVENIDA PASEO DEL COUNTRY,d2g6 d2g6d
AVENIDA PATRICIO SAMPER GNECCO,d2g6 d2g66 d2g6d
AVENIDA PEDRO LEON TRABUCHY,d2g6 d2g66
AVENIDA PEPE SIERRA,d2g6 d2g6d
AVENIDA POPORO QUIMBAYA,d2g60 d2g62
AVENIDA PRIMERO DE MAYO,d2g d2g3 d2g3c d2g6 d2g60 d2g61 d2g62
AVENIDA PUENTE ARANDA,d2g6
AVENIDA QUIROGA,d2g61
AVENIDA RODRIGO LARA BONILLA,d2g6
AVENIDA SAN ANTONIO,d2g
AVENIDA SAN BERNARDINO,d2g
AVENIDA SAN JOSE,d2g
AVENIDA SAN JUAN BOSCO,d2g
AVENIDA SANTA BARBARA,d2g6 d2g6d
AVENIDA SANTA LUCIA,d2g61
AVENIDA SUBA,d2g6d
AVENIDA TERREROS,d2g
AVENIDA TEUSAQUILLO,d2g6 d2g66
AVENIDA TIBABITA,d2g
AVENIDA TINTAL,d2g d2g62
AVENIDA TOMAS CARRASQUILLA,d2g3 d2g3c
AVENIDA TRANSVERSAL DE SUBA,d2g d2g6 d2g6c d2g6d
