name,ghs
(CALLE 4A) CALLE 4B,d37
(CALLE 6) DIAGONAL 5,d3g
(CALLE 6A) DIAGONAL 6 A,d3g
(CALLE 7) CALLE 7 B,d3g
(PROYECTO),d35
-,d35
.,d3d d3f
..,d21 d3f
0,d d2 d21 d23
00,d37 d3f
00-01-0010-0024-000,d26
00-01-0010-0076-000,d26
00-01-0010-0108-000,d26
00-01-0010-0111-000,d26
00-01-0010-0121-000,d26
00-01-0010-0190-000,d26
00-01-0010-0265-000,d26
00-01-0010-0318-000,d26
0001-0001,d3g
0001-0002,d3g
0001-0003,d3g
0001-0011,d3g
0001-0038,d3g
0001-0045,d3g
0001-0047,d3g
0001-0066,d3g
0001-0069,d3g
0001-0089,d3g
0001-0106,d3g
0001-0124,d3g
0001-0322,d3g
0001-0486,d3g
0001-0491,d3g
0001-0520,d3g
0001-0621,d3g
0001-0660,d3g
0001-0665,d3g
0001-0672,d3g
0001-0677,d3g
0001-0678,d3g
0001-0684,d3g
0001-0685,d3g
0001-0689,d3g
0001-0690,d3g
0001-0700,d3g
0001-0794,d3g
0001-0816,d3g
0001-0817,d3g
0001-0818,d3g
0001-0824,d3g
0001-0879,d3g
0001-0955,d3g
0001-0977,d3g
0001-0983,d3g
0001-0984,d3g
0001-0985,d3g
0001-1007,d3g
0001-1013,d3g
0001-1125,d3g
0001-1127,d3g
0001-1130,d3g
0001-1131,d3g
0001-1150,d3g
0001-1151,d3g
0001-1350,d3g
0001-1407,d3g
0001-1427,d3g
0001-9999,d3g
0002-0005,d3g
0002-0025,d3g
0002-0029,d3g
0002-0036,d3g
0002-0039,d3g
0002-0064,d3g
0002-0066,d3g
0002-0074,d3g
0002-0075,d3g
0002-0077,d3g
0002-0312,d3g
0002-0313,d3g
0002-0366,d3g
0002-0367,d3g
0003-,d3g
0003-0174,d3g
0003-0183,d3g
0003-0186,d3g
0003-0253,d3g
0003-0372,d3g
0003-0460,d3g
0003-1049,d3g
01-0002-0033,d3g
01-001-0020,d3e
01-001-0043 Via Publica,d3e
05-19,d2g
05-21,d2g
07-18,d2g
07-29,d2g
09-53,d3f
1,d2 d2d d2f d2f9 d2fk d3 d3du d3e d3g
1 - 20,d3
1-02,d26
1-03,d35
1-04,d35
1-11,d35
1-12,d35
1-145,d3h
1-16,d35
1-17,d35 d3h
1-18,d35
1-25,d35
1-26,d35
1-27,d26
1-31,d35 d3h
1-32,d35
1-39,d35
1-40,d35
1-42,d26
1-45,d35
1-46,d35
1-47,d3h
1-53,d35
1-54,d26 d35
1-57,d3h
1-65,d3h
1-78,d26
1-97,d3h
10,d3du
10 - 35,d3
10-15,d3e
10-71,d3e
100,d3 d3d d3e d3f
10A-72,d3
11,d3du
11 12,d37
11 15,d37
11 21,d37
11-24,d3f
11-39,d3f
11-51,d3
11-B-02,d2f
11-B-05,d2f
11-B-08,d2f
11-B-15,d2f
11-B-18,d2f
11-B-23,d2f
11-B-24,d2f
11A 07,d37
11A 13,d37
11A 19,d37
11A-20,d3
11A-30,d3
11A-73,d3e
11BISA-08,d26
11BISA-14,d26
11BISA-18,d26
11BISA-24,d26
12,d3h
12 - 30,d3
12 - 42,d3
12-203,d2f
12-207,d2f
12-26,d3f
12-52,d3f
12-63,d3f
12345,d2g
123486,d2g
12B-124,d2g
13 - 55,d26
13 - 59,d26
13.25,d3h
13B,d29
14,d3d d3e
14 I 44,d37
14-106,d3f
14-54,d3e
15,d3d
15-25,d3f
15-43,d3
15-53,d3
15-65,d3f
16,d3du
16-02,d3e
16-25,d35
16-57,d35
16-IMP,d35
17,d3du
17 49,d3
17-25,d29
17-31,d35
17-43,d29
17-59,d29
17-65,d29
17-84,d2e
17-95,d29
18,d3du
18-133,d35
18-15,d35
18-183,d35
18-197,d35
18-20,d2e
18-209,d35
18-235,d35
18-251,d35
18-28,d2e
18-30,d3
18-32,d2e
18-44,d2e
18-55,d35
18-61,d35
18-97,d35
18-IMP,d35
19,d3du
19-35,d35
19-43,d35
19-51,d35
19-65,d35
19-69,d35
19A-50,d3g
19ABIS,d2
1A-94,d26
2,d3e d3f
2 - 40 ESTE,d26
2-05,d2g d3e
2-11,d2g d3e
2-17,d26
2-25,d2g
2-31,d3e
2-34,d23
2-47,d26 d3e
2-75,d3e
2-85,d3e
20,d3du
20-11,d35
20-16,d3g
20-IMP,d35
21,d3du
21-25,d3f
21-IMP,d35
21D 17,d37
22,d3du
22 23,d37
22 31,d37
22-10,d3
22D-10SUR,d2e
22D-14SUR,d2e
22D-20SUR,d2e
23,d3d
23-07,d3
23-11,d3
23-21,d3
24,d3du
24-02,d35
24-03,d35
24-08,d35
24-09,d35
24-14,d35
24-15,d35
24-19,d35
24-20,d35
24-21,d35
24-26,d35
24-32,d35
24-33,d35
24-38,d35
24-39,d35
24-44,d35
24-45,d35
24-50,d35
24-51,d35
24-57,d35
24.1,d3h
25,d3d d3h
25-37,d3d
26,d3d
26  - 82,d3
26 - 116,d3
26 - 138,d3
27-30,d3dk
28B-37,d2d
29,d3d
29B-05,d3f
29B-06,d3f
29B-15,d3f
29B-16,d3f
29B-25,d3f
29B-26,d3f
29B-33,d3f
29B-36,d3f
2A BIS-10,d3du
2A-27,d37
2A-71,d26
2A-79,d26
2B-34,d3g
2SUR,d
3,d3d d3f
3-04,d3
3-05,d26 d3
3-08,d26
3-10,d26
3-20,d26
3-21,d26
3-26,d26
3-29,d26
3-30,d26
3-33,d2g
3-34,d2g
3-36,d26
3-37,d26
3-38,d26
3-45,d26
3-46,d26
3-51,d2d
3-54,d26
3-55,d26
3-58,d26 d3e
3-59,d2d
3/4,d3g
30,d3d
30BIS-46,d26
32-07,d3g
32-08,d3g
